id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,GBH,GBD,GBA,BSH,BSD,BSA
424,1,1,2009/2010,24,24-02-2010 00:00,665694,9999,9987,1,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38318,38247,94284,148338,129278,,33671,23997,37945,25619,106369,91929,38785,38293,104411,148314,32863,39498,43158,42153,38794,169200,3.75,3.4,1.91,3.75,3.4,1.85,3.9,3.3,1.75,4,3.4,1.73,,,,4.33,3.4,1.75,4.2,3.4,1.91,4.33,3.2,1.8,4,3.4,1.8,3.8,3.3,1.83
425,1,1,2009/2010,24,29-01-2010 00:00,665695,9993,8635,0,5,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,13131,37988,36849,38322,38800,38784,36868,38786,41106,33622,69629,38391,33620,38388,38389,38253,38393,148302,12692,38378,38383,181276,4.5,3.5,1.8,4.5,3.45,1.7,3.6,3.3,1.8,3.75,3.3,1.8,,,,4.5,3.4,1.73,4.5,3.5,1.8,4.33,3.5,1.73,4,3.4,1.8,4,3.4,1.8
426,1,1,2009/2010,25,06-02-2010 00:00,665698,8635,9997,1,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38391,33620,38389,38393,69713,38383,38253,148302,25499,46552,12692,37868,33595,3329,178486,149150,38354,37866,36836,68120,5016,45490,1.22,5.75,13,1.2,5.6,11,1.2,5,10,1.22,5,10,,,,1.22,5.5,11,1.22,6,13,1.2,5.5,12,1.25,5.5,8.5,1.22,5,11
427,1,1,2009/2010,25,07-02-2010 00:00,665699,9987,9985,1,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,6,4,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,91929,38293,43158,94462,148314,32863,39498,104411,169200,42153,150510,38797,39580,38795,156551,159888,37983,26224,39631,39591,38369,37262,2.4,3.4,2.8,2.55,3.1,2.6,2.45,3.1,2.45,2.5,3.2,2.5,,,,2.5,3.2,2.62,2.5,3.3,2.8,2.38,3.2,2.75,2.5,3.2,2.6,2.5,3.2,2.5
428,1,1,2009/2010,25,07-02-2010 00:00,665700,10000,8342,1,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37900,37886,37100,37889,94030,37893,37981,131531,75500,112934,104377,37990,36832,27508,21812,11736,39578,39878,42594,163670,52280,75405,2.8,3.4,2.4,2.8,3.2,2.3,2.8,3.1,2.2,2.6,3.2,2.38,,,,2.9,3.25,2.25,3,3.3,2.38,2.75,3.2,2.38,2.8,3.2,2.3,2.62,3.2,2.4
429,1,1,2009/2010,25,06-02-2010 00:00,665702,9984,9999,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,36835,38342,37047,38789,38186,27110,37909,104386,166670,178249,38251,38318,38247,94288,94284,129278,33671,23997,148336,37945,25619,106369,1.65,3.75,5.25,1.7,3.35,4.6,1.6,3.4,4.6,1.62,3.5,4.5,,,,1.61,3.4,5.5,1.67,3.5,5.5,1.67,3.5,4.75,1.7,3.4,4.5,1.57,3.6,5
430,1,1,2009/2010,25,06-02-2010 00:00,665704,9994,8203,2,1,1,2,4,6,8,4,6,8,2,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,30934,38292,39594,11569,14642,38945,25465,38290,30910,30485,34334,38327,67950,6800,39389,67959,67898,37112,38969,67952,148286,178291,2.25,3.3,3.2,2.25,3.2,2.9,2.4,3.1,2.5,2.2,3.3,2.7,,,,2.2,3.25,3,2.25,3.3,3.2,2.2,3,3.2,2.3,3.25,2.75,2.1,3.2,3.1
431,1,1,2009/2010,25,07-02-2010 00:00,665706,8571,9986,2,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37971,,38441,16387,131404,38249,33685,40521,78902,95615,148315,104388,38417,37571,46666,,,38439,40520,38419,20445,,2,3.4,3.7,2,3.1,3.4,1.8,3.2,3.7,1.73,3.4,4,,,,1.91,3.3,3.75,1.95,3.3,4,1.95,3.2,3.75,1.9,3.4,3.6,2,3.2,3.4
432,1,1,2009/2010,25,06-02-2010 00:00,665710,10001,9993,1,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38341,43049,37953,38339,,38343,21834,38778,67896,182605,17883,13131,37988,38322,36849,38800,38784,38786,166676,33622,69629,166679,2.3,3.4,3,2.4,3.1,2.75,2.3,3.1,2.6,2.38,3.2,2.6,,,,2.3,3.25,2.8,2.4,3.3,2.88,2.3,3.2,2.88,2.3,3.25,2.75,2.3,3.2,2.75
433,1,1,2009/2010,26,14-02-2010 00:00,665712,9985,10001,1,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38797,38795,47411,159888,37983,35412,39631,39591,148335,156551,25957,38341,38349,38343,43049,37953,21834,38778,67896,182605,37025,39848,1.44,4.33,7,1.45,3.7,6.95,1.45,3.9,5.2,1.4,3.75,7,,,,1.5,3.6,6.5,1.5,3.8,7.5,1.4,4,7.5,1.45,3.75,7,1.44,3.75,6.5
434,1,1,2009/2010,26,06-03-2010 00:00,665717,9986,8635,0,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,104388,,39977,38417,46666,38439,40520,20445,,38920,164732,38391,33620,38388,38389,31316,38383,38393,148302,37069,46552,12692,6.5,4,1.5,6,4.1,1.45,5,3.7,1.5,5.5,3.6,1.5,,,,6.5,3.75,1.5,7,4,1.5,6.5,4,1.44,6,3.75,1.5,5.5,3.8,1.5
435,1,1,2009/2010,26,06-03-2010 00:00,665719,9984,9994,4,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,36835,38342,37047,38789,38186,27110,37957,37051,38357,38251,89548,30934,38292,39594,38273,30910,38945,38290,95609,30485,34334,104404,2.1,3.4,3.4,2.05,3.3,3.25,2,3.2,3.1,1.91,3.2,3.5,,,,2.1,3.2,3.3,2,3.4,3.8,2,3.2,3.5,1.9,3.25,3.75,2,3.2,3.4
436,1,1,2009/2010,26,14-02-2010 00:00,665721,9991,8342,1,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,104378,27838,38337,12473,104382,27421,37044,38233,166618,12574,148329,37990,36832,21812,11736,95614,39578,38366,163670,166575,38440,75405,2.38,3.25,3,2.45,3.15,2.65,2.4,3.2,2.4,2.25,3.3,2.62,,,,2.4,3.2,2.75,2.5,3.2,2.88,2.3,3.2,2.88,2.4,3.2,2.7,2.38,3.2,2.62
437,1,1,2009/2010,26,07-03-2010 00:00,665723,8203,9987,2,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38327,67950,6800,39389,67959,38799,67898,37112,38969,148286,178291,91929,38785,38293,,148314,32863,9307,38435,39498,42153,38794,2.75,3.3,2.5,2.55,3.3,2.45,2.5,3.1,2.4,2.5,3.2,2.5,,,,2.6,3.1,2.6,2.75,3.3,2.55,2.75,3.2,2.38,2.6,3.2,2.5,2.6,3.1,2.5
438,1,1,2009/2010,26,13-02-2010 00:00,665725,9999,8571,0,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38318,38247,94288,94284,129278,37945,23997,,148336,25619,106369,37971,39859,38441,38257,131404,38249,33685,40521,95615,78902,148315,2.63,3.25,2.7,2.6,3.1,2.55,2.4,3.2,2.4,2.5,3.3,2.38,,,,2.7,3.25,2.4,2.7,3.25,2.6,2.62,3,2.62,2.55,3.2,2.55,2.5,3.2,2.5
439,1,1,2009/2010,26,07-03-2010 00:00,665727,9993,10000,1,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,13131,36849,36845,38322,38800,38784,36868,38786,33622,69629,166679,37900,37886,37100,107416,94030,37893,37981,131531,131530,130027,104377,2.35,3.4,2.9,2.3,3.3,2.75,2.45,3.1,2.45,2.25,3.2,2.75,,,,2.38,3.25,2.75,2.4,3.3,2.91,2.25,3.2,2.88,2.3,3.25,2.8,2.4,3.2,2.62
440,1,1,2009/2010,27,21-02-2010 00:00,665728,8342,9985,2,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,8,6,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37990,36832,21812,11736,42594,39578,37979,38366,163670,38440,75405,38797,39580,47411,186621,159888,37983,25957,39631,39591,37262,38369,2,3.4,3.75,2.05,3.35,3.75,2,3.2,3.1,1.83,3.3,3.6,,,,1.9,3.25,3.75,2,3.4,3.8,1.95,3.2,3.6,1.9,3.25,3.75,2,3.25,3.3
441,1,1,2009/2010,27,21-02-2010 00:00,665729,8635,8203,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,4,6,8,2,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38391,38388,38389,38253,69713,38798,38383,38393,148302,37069,46552,38327,6800,39389,67941,67959,67898,38969,178291,38799,148286,17276,1.25,5.25,13,1.2,5.6,11,1.22,4.8,9.5,1.2,5,11,,,,1.22,5.5,10,1.22,6.5,12,1.22,5,13,1.22,5.5,10,1.2,5.5,11
442,1,1,2009/2010,27,19-02-2010 00:00,665730,9987,9994,3,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,91929,38293,43158,94462,148314,32863,39498,104411,169200,42153,150510,30934,38292,39594,11569,14642,30910,38945,25465,38290,30485,34334,1.57,3.8,6,1.45,3.8,7,1.45,3.9,5.2,1.5,3.6,5.5,,,,1.5,3.75,6,1.57,3.6,7,1.5,3.75,6,1.55,3.5,6,1.5,3.6,6
443,1,1,2009/2010,27,20-02-2010 00:00,665731,10000,9999,1,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37900,37886,37100,37889,94030,37893,37981,131531,75500,112934,104377,38318,,38247,94284,129278,33671,23997,94288,148336,37945,25619,1.44,4.2,7.5,1.4,3.9,7.5,1.4,3.9,6,1.4,4,6.5,,,,1.4,4.3,6.5,1.42,4.33,7.5,1.4,4.33,6.5,1.4,4,7.5,1.4,4,7
444,1,1,2009/2010,27,20-02-2010 00:00,665732,9991,9997,0,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,104378,27838,38337,,12473,104382,27421,33662,26916,46335,148329,37868,33595,3329,178486,149150,38354,37866,36836,68120,5016,45490,1.62,3.75,5.5,1.6,3.5,5,1.55,3.5,4.8,1.5,3.4,6,,,,1.55,3.6,5.5,1.62,3.6,6,1.53,3.6,6,1.6,3.4,5.5,1.62,3.5,5
445,1,1,2009/2010,27,20-02-2010 00:00,665733,8571,9984,3,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38434,37971,39859,38441,131404,38249,33685,38257,40521,78902,148315,36835,38342,37047,38789,37038,27110,37957,178249,38357,38251,89548,2.25,3.4,3.1,2.25,3.25,2.85,2.1,3.2,2.9,2.1,3.2,3,,,,2.15,3.3,3,2.38,3.25,3,2.2,3.2,3,2.2,3.2,3,2.3,3.2,2.75
446,1,1,2009/2010,27,20-02-2010 00:00,665735,10001,9986,4,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,8,6,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38341,38349,39848,21834,37953,38339,67896,38343,38778,182605,37025,104388,,38417,46666,38423,39145,38439,167619,20445,38920,,2.1,3.4,3.4,1.95,3.3,3.5,2.1,3.3,2.8,1.91,3.2,3.5,,,,1.95,3.25,3.6,2.1,3.3,3.5,2.05,3.2,3.4,2.05,3.25,3.3,2.05,3.2,3.2
447,1,1,2009/2010,28,28-02-2010 00:00,665737,9997,8342,1,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37868,33595,37866,3329,149150,38354,178486,36836,45490,68120,5016,37990,36832,21812,11736,42594,39578,37979,38366,163670,27423,38440,3.75,3.4,2,3.55,3.25,1.95,3.1,3.2,2,3.2,3.2,2,,,,3.25,3.3,2.05,3.8,3.3,2,3.75,3.25,1.91,3.5,3.3,1.95,3.4,3.2,2
448,1,1,2009/2010,28,28-02-2010 00:00,665738,9986,10000,0,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,104388,,39977,38417,37571,46666,38423,39145,20445,38920,164732,37900,37886,37100,37889,94030,37893,26741,131531,131530,38231,104377,2.9,3.3,2.4,2.7,3.25,2.35,2.8,3.1,2.2,2.75,3.2,2.25,,,,2.9,3.25,2.25,2.88,3.3,2.4,2.88,3,2.38,2.7,3.2,2.4,2.75,3.2,2.3
449,1,1,2009/2010,28,27-02-2010 00:00,665739,9984,9987,1,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,36835,38342,37047,38789,37051,27110,38186,104386,38357,38251,89548,170323,38293,104411,94462,148314,32863,39498,43158,42153,38794,169200,2.5,3.25,2.8,2.4,3.3,2.6,2.4,3.1,2.5,2.62,3.25,2.3,,,,2.62,3.2,2.5,2.63,3.25,2.63,2.5,3.2,2.62,2.45,3.25,2.6,2.5,3.2,2.5
450,1,1,2009/2010,28,27-02-2010 00:00,665740,9994,10001,1,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38289,38292,39594,11569,38273,30910,38945,38290,30485,34334,104404,38341,38349,37953,38339,,21834,38778,67896,182605,37025,39848,2,3.4,3.75,2.05,3.2,3.3,2,3.2,3.1,2.1,3.2,3,,,,2.15,3.2,3.2,2.05,3.3,3.7,1.95,3.2,3.6,2,3.25,3.4,2,3.25,3.3
451,1,1,2009/2010,28,27-02-2010 00:00,665741,8203,8571,1,1,1,2,4,6,8,2,4,8,6,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38327,6800,39389,67941,67959,67898,37112,148286,38969,38799,17276,37971,39859,38441,38257,131404,38249,33685,40521,78902,95615,148315,2.15,3.3,3.4,2.15,3.25,3.05,2.2,3.1,2.8,2.1,3.2,3,,,,2.2,3.2,3.1,2.2,3.3,3.25,2.05,3.2,3.25,2.1,3.2,3.2,2.15,3.25,3
452,1,1,2009/2010,28,28-02-2010 00:00,665742,9999,8635,1,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38318,,38247,94288,94284,129278,33671,23997,148336,37945,106369,38391,33620,38388,38389,69713,38383,38393,38253,148302,37069,46552,8,4.5,1.4,7.25,4,1.4,6,3.9,1.4,7,3.75,1.4,,,,7.5,4.33,1.36,8.5,4.5,1.4,7.5,4,1.4,7,4.1,1.4,7,4,1.4
453,1,1,2009/2010,28,26-02-2010 00:00,665743,9993,9991,1,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,13131,37988,36849,38800,166676,38784,38322,38786,33622,69629,166679,104378,27838,38337,,12473,27421,26916,38233,104382,26116,148329,3,3.4,2.3,2.8,3.2,2.3,2.6,3.1,2.3,2.75,3.2,2.25,,,,2.7,3.25,2.4,3,3.3,2.38,3,3.2,2.25,2.8,3.25,2.3,2.75,3.2,2.3
454,1,1,2009/2010,29,14-03-2010 00:00,665744,8342,9999,1,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,31226,36832,21812,11736,37858,39578,37979,38366,166575,34025,75405,38318,38247,94288,94284,129278,37945,,33671,23997,148336,106369,1.3,5,10,1.25,5.2,9,1.3,4.2,8,1.2,5.5,9,,,,1.25,5.1,10,1.27,5.5,10,1.3,4.75,9,1.27,5,9,1.33,4.33,8.5
455,1,1,2009/2010,29,14-03-2010 00:00,665745,8635,9987,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38391,38388,38389,69713,38378,38383,38393,38253,148302,46552,181276,91929,38785,104411,148314,178276,32863,39498,43158,42153,38794,169200,1.4,4.5,8,1.35,4.4,7.5,1.4,3.9,6,1.33,4.33,7,,,,1.33,4.33,8.5,1.36,4.5,8.5,1.4,4,7.5,1.38,4.25,7,1.4,4,7.5
456,1,1,2009/2010,29,14-03-2010 00:00,665746,9997,9993,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,149260,33595,38347,3329,178486,38354,37866,36836,45490,68120,5016,13131,37988,36845,38800,166676,36868,38786,,41106,69629,166679,2.2,3.25,3.3,2.1,3.25,3.15,2.2,3.1,2.8,1.9,3.2,3.5,,,,2.1,3.25,3.2,2.15,3.25,3.3,2.1,3.2,3.25,2.15,3.2,3.1,2.2,3.25,3
457,1,1,2009/2010,29,14-03-2010 00:00,665749,10000,9985,1,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37900,37886,37100,37889,94030,37893,37981,131531,131530,130027,104377,38797,38795,47411,129462,159888,37983,39591,148335,156551,37262,25957,2.5,3.2,2.88,2.55,3.15,2.55,2.45,3.1,2.45,2.37,3.3,2.5,,,,2.6,3.1,2.6,2.63,3.25,2.7,2.5,3,2.75,2.5,3.2,2.6,2.5,3.2,2.6
458,1,1,2009/2010,29,14-03-2010 00:00,665751,9991,9986,2,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,8,6,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,104378,27838,38337,,12473,37044,26916,38233,166618,12574,148329,104388,,38417,46666,38423,39145,40520,167619,20445,38920,164732,1.53,3.8,6.5,1.5,3.7,6,1.5,3.7,5,1.44,3.75,6,,,,1.5,3.8,6,1.5,3.8,7,1.44,3.75,7,1.5,3.75,6,1.5,3.75,6
459,1,1,2009/2010,29,14-03-2010 00:00,665753,8571,9994,3,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37971,39859,38441,95615,131404,38249,33685,38257,40521,78902,148315,30934,11569,14642,25465,38273,30910,12099,38945,38290,30485,17703,1.85,3.5,4.2,1.8,3.25,4.05,1.8,3.2,3.7,1.66,3.5,4.2,,,,1.8,3.25,4.33,1.83,3.4,4.33,1.83,3.25,4,1.8,3.25,4.25,2,3.25,3.4
460,1,1,2009/2010,29,14-03-2010 00:00,665757,10001,9984,2,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38341,38349,43049,21834,37953,38343,38778,67896,182605,39848,192907,36835,38342,37047,38789,38186,38357,27110,37957,37051,38251,89548,2.5,3.25,2.8,2.2,3.2,3,2.4,3.1,2.5,2.25,3.3,2.62,,,,2.2,3.3,3,2.38,3.3,2.88,2.38,3,2.88,2.3,3.1,2.9,2.2,3.25,3
461,1,1,2009/2010,3,15-08-2009 00:00,665334,8635,10001,3,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38391,33620,38388,13423,38389,38798,38383,38393,38253,37069,46552,38341,38349,37953,38339,67896,38343,38348,38332,47410,25619,166584,1.29,5.5,10,1.23,5,11,1.25,4.5,9,1.25,4.5,10,,,,1.18,5.5,10,1.22,5.5,10,1.3,4.5,9,1.22,5.5,10,1.25,5.5,8
462,1,1,2009/2010,3,15-08-2009 00:00,665335,9987,9991,1,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,37937,38785,104411,148314,148313,9307,38435,39498,43158,42153,163674,104378,27838,38337,38255,12473,41109,38233,32760,39875,37065,12574,2.5,3.4,2.7,2.3,3.2,2.8,2.2,3.2,2.75,2.2,3.25,2.75,,,,2.2,3.1,2.9,2.3,3.25,2.8,2.4,3.25,2.6,2.35,3.25,2.7,2.4,3.2,2.6
463,1,1,2009/2010,3,16-08-2009 00:00,665336,9986,9993,1,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,40014,,38417,37571,46666,,38423,38439,40520,38920,38419,13131,37988,36849,36845,36868,30910,36852,38784,38380,38786,33622,2.5,3.3,2.75,2.35,3.2,2.75,2.3,3.2,2.5,2.2,3.2,2.8,,,,2.15,3.2,2.9,2.3,3.25,2.8,2.4,3.25,2.6,2.4,3.2,2.7,2.4,3.2,2.6
464,1,1,2009/2010,3,15-08-2009 00:00,665337,9984,10000,2,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,131403,38342,37047,37021,37051,38357,27110,32863,37909,78462,89548,37900,37886,37100,37903,37889,37902,37981,131531,130027,104377,38231,2.4,3.4,2.8,2.35,3.25,2.7,2.3,3.2,2.5,2.4,3.25,2.5,,,,2.3,3.2,2.62,2.3,3.3,2.75,2.3,3.25,2.7,2.3,3.2,2.8,2.3,3.2,2.75
465,1,1,2009/2010,3,15-08-2009 00:00,665338,9994,9997,1,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,30934,38292,39594,14642,,12099,38290,95609,15662,30485,,37868,33595,38347,3329,149150,38354,37866,36836,,5016,45490,1.83,3.5,4.33,1.75,3.35,4.3,1.75,3.3,3.9,1.62,3.5,4.5,,,,1.62,3.5,4.5,1.73,3.3,4.5,1.85,3.3,3.75,1.85,3.3,3.9,1.8,3.3,4
466,1,1,2009/2010,3,15-08-2009 00:00,665340,8203,8342,2,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38327,67950,6800,39389,67941,38801,37112,38969,178291,148286,17276,37990,21812,11736,37858,37963,37983,39578,37979,38336,38366,38440,2.9,3.3,2.4,3,3.2,2.2,2.9,3.2,2.1,2.75,3.25,2.2,,,,3,3.2,2.1,3,3.3,2.15,2.62,3.25,2.38,2.8,3.2,2.3,2.75,3.2,2.3
467,1,1,2009/2010,3,15-08-2009 00:00,665341,9999,9985,1,5,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38318,,38247,94288,69805,94284,26669,46217,33671,148336,24037,38797,39580,47411,46890,39631,39591,148335,156551,37262,25957,38369,7,4,1.5,6.5,3.5,1.5,4.8,3.5,1.55,6,3.75,1.44,,,,5.5,3.4,1.53,7,4,1.4,6,3.5,1.5,6.5,3.6,1.5,6,3.5,1.53
468,1,1,2009/2010,30,21-03-2010 00:00,665761,9985,9991,0,2,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,38797,39580,38795,47411,159888,35412,39591,148335,37262,25957,178484,104378,38337,38255,,104382,27421,33662,26916,39875,12574,46335,1.85,3.6,4,1.8,3.35,4,1.9,3.1,3.5,1.8,3.5,3.5,,,,1.8,3.4,4,1.88,3.5,4,1.8,3.4,4,1.8,3.4,4,1.91,3.3,3.5
